profile,method,family,threshold,n_injections,n_calibration_nulls,n_heldout_nulls,period_recovered,detected,alias_recovered,alias_detected,false_positives,period_recall,detection_recall,false_positive_rate,period_interval,detection_interval,false_positive_interval,invalid_calibration,invalid_heldout,partial_spectra_calibration,partial_spectra_heldout,masked_trials_calibration,masked_trials_heldout
tess_gap,gtls_batch,GTLS,10.242493629455566,128,128,128,95,74,99,78,2,0.7421875,0.578125,0.015625,"[0.6601308077044309, 0.8101309791005885]","[0.4915184739711009, 0.6601788766111634]","[0.004295449710144082, 0.055180976679817195]",0,0,0,0,0,0
ztf,bls_v1,BLS v1,7.94555263720784,128,128,128,101,93,101,93,9,0.7890625,0.7265625,0.0703125,"[0.7104932846593583, 0.8507869124950196]","[0.6435923144931466, 0.7963300021954198]","[0.03742976830393997, 0.12823480349360633]",0,0,0,0,0,0
ztf,bls_v1_batch,BLS v1,7.945554731928342,128,128,128,101,93,101,93,9,0.7890625,0.7265625,0.0703125,"[0.7104932846593583, 0.8507869124950196]","[0.6435923144931466, 0.7963300021954198]","[0.03742976830393997, 0.12823480349360633]",0,0,0,0,0,0
tess_200s,bls_pypi,BLS PyPI,6.220359293976545,128,128,128,63,50,66,51,3,0.4921875,0.390625,0.0234375,"[0.4070774941965585, 0.5777527707452151]","[0.31047019100495765, 0.4771535181798723]","[0.008002416396755481, 0.06664374505143222]",0,0,0,0,0,0
tess_200s,bls_cpu,BLS CPU,5.882632997067927,128,128,128,59,48,63,48,5,0.4609375,0.375,0.0390625,"[0.3769811559809195, 0.5471701687279483]","[0.29592429097646555, 0.4613599480919116]","[0.016798610797803704, 0.08818702076683686]",0,0,0,0,0,0
tess_gap,bls_v1,BLS v1,7.228796761775145,128,128,128,95,89,95,89,6,0.7421875,0.6953125,0.046875,"[0.6601308077044309, 0.8101309791005885]","[0.6108489916080531, 0.7683943848476078]","[0.021657844171923776, 0.09849752245094322]",0,0,0,0,0,0
tess_gap,bls_cpu,BLS CPU,6.963092992681387,128,128,128,86,74,87,75,7,0.671875,0.578125,0.0546875,"[0.5865640159976144, 0.7471701552833669]","[0.4915184739711009, 0.6601788766111634]","[0.026740201381346355, 0.10858490029974707]",0,0,0,0,0,0
ztf,bls_gpu,BLS GPU,7.83691528271781,128,128,128,99,90,99,90,6,0.7734375,0.703125,0.046875,"[0.6935732116243923, 0.8373675154135328]","[0.6189947723495539, 0.7754183391643332]","[0.021657844171923776, 0.09849752245094322]",0,0,0,0,0,0
tess_gap,bls_gpu,BLS GPU,6.962940217722587,128,128,128,86,74,87,75,7,0.671875,0.578125,0.0546875,"[0.5865640159976144, 0.7471701552833669]","[0.4915184739711009, 0.6601788766111634]","[0.026740201381346355, 0.10858490029974707]",0,0,0,0,0,0
tess_200s,gtls_batch,GTLS,7.17197322845459,128,128,128,69,59,72,59,8,0.5390625,0.4609375,0.0625,"[0.4528298312720518, 0.6230188440190805]","[0.3769811559809195, 0.5471701687279483]","[0.03200692569506119, 0.11848791104425865]",0,0,0,0,0,0
