profile,method,cohort,sources,independent_search_calls,sources_per_call,mean_seconds_per_source,median_seconds_per_source,partial_spectra,p10_seconds_per_source,p90_seconds_per_source
tess_gap,gtls_batch,injected,128,8,16,4.8990518089267425,4.885993424104527,0,4.8154221996665,5.026309558888897
tess_gap,gtls_batch,null,128,8,16,4.660858871618984,4.674457938992418,0,4.538111167494208,4.789638969348744
ztf,bls_v1,injected,128,128,1,0.05576533958083019,0.05394321493804455,0,0.04727919325232506,0.06671627759933471
ztf,bls_v1,null,128,128,1,0.056340247829211876,0.05500971898436546,0,0.04914063811302185,0.06554622910916805
ztf,bls_v1_batch,injected,128,8,16,0.04714041852275841,0.04597083863336593,0,0.04494405211880803,0.0537684082519263
ztf,bls_v1_batch,null,128,8,16,0.047158989880699664,0.046097249491140246,0,0.044734667520970106,0.055753399385139346
tess_200s,bls_pypi,injected,128,128,1,0.007309697481105104,0.00709918886423111,0,0.006772932037711144,0.008117316290736198
tess_200s,bls_pypi,null,128,128,1,0.007220855506602675,0.0071076080203056335,0,0.006834102049469948,0.00798143707215786
tess_200s,bls_cpu,injected,128,128,1,0.08041361617506482,0.07957562245428562,0,0.07486833855509759,0.08670346476137639
tess_200s,bls_cpu,null,128,128,1,0.0835109686886426,0.08348254300653934,0,0.07507981993257999,0.09155884645879268
tess_gap,bls_v1,injected,128,128,1,0.021096457669045776,0.01944655179977417,0,0.017844080924987793,0.024544704332947732
tess_gap,bls_v1,null,128,128,1,0.02091970175388269,0.020343458279967308,0,0.017946265265345575,0.024482327327132226
tess_gap,bls_cpu,injected,128,128,1,0.9938949077622965,0.9850174728780985,0,0.9433870304375886,1.0525289915502072
tess_gap,bls_cpu,null,128,128,1,0.9837480718852021,0.9787779301404953,0,0.9245284754782915,1.0345106210559607
ztf,bls_gpu,injected,128,128,1,0.109088613971835,0.10671037621796131,0,0.09443246796727181,0.1253996815532446
ztf,bls_gpu,null,128,128,1,0.10046657556085847,0.09341909736394882,0,0.08429172150790691,0.12404086366295815
tess_gap,bls_gpu,injected,128,128,1,0.08122111315606162,0.07657330669462681,0,0.06910276040434837,0.10355343148112296
tess_gap,bls_gpu,null,128,128,1,0.0763654770271387,0.07355976849794388,0,0.0649584662169218,0.09437146894633769
tess_200s,gtls_batch,injected,128,8,16,0.4841046528017614,0.482275290065445,0,0.4732979335822165,0.49889174406416714
tess_200s,gtls_batch,null,128,8,16,0.46825273107970133,0.46455985121428967,0,0.44336933735758066,0.5130724201444536
tess_200s,tls_v1,injected,128,128,1,0.00514568280777894,0.00456123985350132,0,0.004334511235356331,0.006482760980725288
tess_200s,tls_v1,null,128,128,1,0.005414932558778673,0.005137477070093155,0,0.005053740367293358,0.006380800530314445
tess_200s,bls_v1_batch,injected,128,8,16,0.001740989595418796,0.0016576446359977126,0,0.0016160858795046806,0.0023273394908756018
tess_200s,bls_v1_batch,null,128,8,16,0.0016396704886574298,0.0016348580829799175,0,0.0016221071127802134,0.0016689987387508154
tess_200s,bls_gpu,injected,128,128,1,0.04485845612362027,0.042425502091646194,0,0.03328749984502792,0.06327201835811137
tess_200s,bls_gpu,null,128,128,1,0.04446018105954863,0.04118843004107475,0,0.03532467782497406,0.059994104504585255
ztf,bls_cpu,injected,128,128,1,1.1476335471088532,1.1478115636855364,0,1.0810175649821758,1.2145781934261322
ztf,bls_cpu,null,128,128,1,1.1682926992943976,1.165103990584612,0,1.1078495617955924,1.2369877144694328
tess_gap,bls_pypi,injected,128,128,1,0.04095346591202542,0.03945920243859291,0,0.038874903693795204,0.04613059237599373
tess_gap,bls_pypi,null,128,128,1,0.04035210012807511,0.03968387842178345,0,0.03883342370390892,0.04476092904806137
tess_200s,bls_v1,injected,128,128,1,0.0025761601864360273,0.0024713370949029922,0,0.0023601893335580826,0.002737502008676529
tess_200s,bls_v1,null,128,128,1,0.0028031449764966965,0.0027113985270261765,0,0.002639639005064964,0.003066142648458481
ztf,tls_v1,injected,128,128,1,0.08212186503806151,0.08022432401776314,0,0.07291828133165837,0.09607652500271797
ztf,tls_v1,null,128,128,1,0.0779161614482291,0.07432696968317032,0,0.0729908138513565,0.08786393441259861
ztf,bls_pypi,injected,128,128,1,0.10235669178655371,0.09777417220175266,0,0.09438199102878571,0.11228017807006836
ztf,bls_pypi,null,128,128,1,0.10592819665907882,0.09725344181060791,0,0.09423061087727547,0.12626398392021657
ztf,gtls_batch,injected,128,8,16,5.938393401447684,5.9234479640144855,0,5.852206010604277,6.123832888668403
ztf,gtls_batch,null,128,8,16,5.701203616510611,5.690184727311134,0,5.634077923838049,5.762651454890147
tess_gap,tls_v1,injected,128,128,1,0.02947801712434739,0.028472771868109703,0,0.02771340385079384,0.03209219984710217
tess_gap,tls_v1,null,128,128,1,0.029538355651311576,0.028926583006978035,0,0.028300012275576592,0.03209763020277023
tess_gap,bls_v1_batch,injected,128,8,16,0.01749469802598469,0.017703479737974703,0,0.015972457826137543,0.018957544583827257
tess_gap,bls_v1_batch,null,128,8,16,0.017424570949515328,0.016874385299161077,0,0.015608423855155706,0.02018437534570694
